uri,Alias,Genotype,Treatment,Repetition,Sowing,Harvesting,Biomass(gramos_pesofresco)
http://www.phenome-fppn.fr/m3p/arch/2017/c17000893,0893/DZ_PG_66/ZM4391/WW/Veg_2/15_53/ARCH2017-03-30,iPG318,WW,2,06/04/2017,15/05/2017,237
http://www.phenome-fppn.fr/m3p/arch/2017/c17000894,0894/DZ_PG_04/ZM4366/WW/Veg_2/15_54/ARCH2017-03-30,iPG321,WW,2,06/04/2017,15/05/2017,324
http://www.phenome-fppn.fr/m3p/arch/2017/c17000895,0895/DZ_PG_48/ZM4421/WW/Veg_2/15_55/ARCH2017-03-30,iPG216,WW,2,06/04/2017,15/05/2017,285
http://www.phenome-fppn.fr/m3p/arch/2017/c17000896,0896/DZ_PG_72/ZM4398/WW/Veg_2/15_56/ARCH2017-03-30,iPG314,WW,2,06/04/2017,15/05/2017,385
http://www.phenome-fppn.fr/m3p/arch/2017/c17000897,0897/DZ_PG_38/ZM1289/WW/Veg_2/15_57/ARCH2017-03-30,iPG169,WW,2,06/04/2017,15/05/2017,302
http://www.phenome-fppn.fr/m3p/arch/2017/c17000898,0898/DZ_PG_55/ZM4355/WW/Veg_2/15_58/ARCH2017-03-30,iPG146,WW,2,06/04/2017,15/05/2017,525
http://www.phenome-fppn.fr/m3p/arch/2017/c17000899,0899/DZ_PG_33/ZM4353/WW/Veg_2/15_59/ARCH2017-03-30,iPG158,WW,2,06/04/2017,15/05/2017,501
http://www.phenome-fppn.fr/m3p/arch/2017/c17000900,0900/DZ_PG_62/ZM4393/WW/Veg_2/15_60/ARCH2017-03-30,iPG303,WW,2,06/04/2017,15/05/2017,422
http://www.phenome-fppn.fr/m3p/arch/2017/c17000901,0901/DZ_PG_16/ZM4359/WD/Rep_4/16_01/ARCH2017-03-30,iPG109,WD,4,06/04/2017,19/06/2017,383
http://www.phenome-fppn.fr/m3p/arch/2017/c17000902,0902/DZ_PG_01/ZM4381/WD/Rep_4/16_02/ARCH2017-03-30,iPG004,WD,4,06/04/2017,14/06/2017,349
http://www.phenome-fppn.fr/m3p/arch/2017/c17000903,0903/DZ_PG_40/ZM4390/WD/Rep_4/16_03/ARCH2017-03-30,iPG176,WD,4,06/04/2017,19/06/2017,494
